score,decision,propensity_band,label
0.15669856459330145,WARM_LEAD_MODEL,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.30918595967139656,HOT_LEAD_MODEL,MEDIUM,0
0.001996007984031936,COLD_LEAD_RULE,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.13132295719844359,COLD_LEAD_MODEL,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.08275174476570289,COLD_LEAD_MODEL,LOW,0
0.310197086546701,HOT_LEAD_MODEL,MEDIUM,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.001996007984031936,COLD_LEAD_RULE,LOW,0
0.24714518760195758,HOT_LEAD_MODEL,LOW,0
0.34232498394348104,HOT_LEAD_MODEL,MEDIUM,0
0.3659574468085106,HOT_LEAD_MODEL,MEDIUM,0
0.2672413793103448,HOT_LEAD_MODEL,LOW,0
0.19957983193277312,WARM_LEAD_MODEL,LOW,0
0.15669856459330145,WARM_LEAD_MODEL,LOW,1
0.20049710024855014,WARM_LEAD_MODEL,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.03616352201257861,COLD_LEAD_MODEL,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.17062937062937064,WARM_LEAD_MODEL,LOW,1
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.30918595967139656,HOT_LEAD_MODEL,MEDIUM,1
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.20049710024855014,WARM_LEAD_MODEL,LOW,1
0.346938775510204,HOT_LEAD_MODEL,MEDIUM,1
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.310197086546701,HOT_LEAD_MODEL,MEDIUM,0
0.16293929712460065,WARM_LEAD_MODEL,LOW,0
0.03616352201257861,COLD_LEAD_MODEL,LOW,0
0.21923076923076923,HOT_LEAD_MODEL,LOW,0
0.30918595967139656,HOT_LEAD_MODEL,MEDIUM,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.21923076923076923,HOT_LEAD_MODEL,LOW,0
0.346938775510204,HOT_LEAD_MODEL,MEDIUM,0
0.005995203836930456,COLD_LEAD_RULE,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.310197086546701,HOT_LEAD_MODEL,MEDIUM,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.26156299840510355,HOT_LEAD_MODEL,LOW,0
0.13132295719844359,COLD_LEAD_MODEL,LOW,0
0.15669856459330145,WARM_LEAD_MODEL,LOW,0
0.34232498394348104,HOT_LEAD_MODEL,MEDIUM,1
0.34232498394348104,HOT_LEAD_MODEL,MEDIUM,1
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.310197086546701,HOT_LEAD_MODEL,MEDIUM,0
0.24714518760195758,HOT_LEAD_MODEL,LOW,0
0.21923076923076923,HOT_LEAD_MODEL,LOW,0
0.02845927379784102,COLD_LEAD_MODEL,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.13132295719844359,COLD_LEAD_MODEL,LOW,1
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.10963855421686747,COLD_LEAD_MODEL,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.17062937062937064,WARM_LEAD_MODEL,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.3659574468085106,HOT_LEAD_MODEL,MEDIUM,0
0.3659574468085106,HOT_LEAD_MODEL,MEDIUM,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.2672413793103448,HOT_LEAD_MODEL,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.20833333333333334,WARM_LEAD_MODEL,LOW,0
0.10963855421686747,COLD_LEAD_MODEL,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.310197086546701,HOT_LEAD_MODEL,MEDIUM,1
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.19957983193277312,WARM_LEAD_MODEL,LOW,1
0.08275174476570289,COLD_LEAD_MODEL,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.3060941828254848,HOT_LEAD_MODEL,MEDIUM,1
0.310197086546701,HOT_LEAD_MODEL,MEDIUM,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.2672413793103448,HOT_LEAD_MODEL,LOW,0
0.2544426494345719,HOT_LEAD_MODEL,LOW,0
0.30918595967139656,HOT_LEAD_MODEL,MEDIUM,0
0.08072590738423029,COLD_LEAD_MODEL,LOW,0
0.3470764617691155,HOT_LEAD_MODEL,MEDIUM,0
0.2544426494345719,HOT_LEAD_MODEL,LOW,1
0.0012422360248447205,COLD_LEAD_RULE,LOW,0
0.310197086546701,HOT_LEAD_MODEL,MEDIUM,1
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.36065573770491804,HOT_LEAD_MODEL,MEDIUM,0
0.2544426494345719,HOT_LEAD_MODEL,LOW,0
0.21923076923076923,HOT_LEAD_MODEL,LOW,0
0.20049710024855014,WARM_LEAD_MODEL,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.17062937062937064,WARM_LEAD_MODEL,LOW,0
0.12457912457912458,COLD_LEAD_MODEL,LOW,0
0.043689320388349516,COLD_LEAD_MODEL,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.0012422360248447205,COLD_LEAD_RULE,LOW,0
0.03616352201257861,COLD_LEAD_MODEL,LOW,0
0.3659574468085106,HOT_LEAD_MODEL,MEDIUM,0
0.01131770412287793,COLD_LEAD_RULE,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.10963855421686747,COLD_LEAD_MODEL,LOW,0
0.13132295719844359,COLD_LEAD_MODEL,LOW,1
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.01131770412287793,COLD_LEAD_RULE,LOW,0
0.15669856459330145,WARM_LEAD_MODEL,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.13132295719844359,COLD_LEAD_MODEL,LOW,0
0.21923076923076923,HOT_LEAD_MODEL,LOW,0
0.13132295719844359,COLD_LEAD_MODEL,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
0.310197086546701,HOT_LEAD_MODEL,MEDIUM,0
0.24714518760195758,HOT_LEAD_MODEL,LOW,1
0.3659574468085106,HOT_LEAD_MODEL,MEDIUM,1
0.2544426494345719,HOT_LEAD_MODEL,LOW,1
0.30918595967139656,HOT_LEAD_MODEL,MEDIUM,1
0.10963855421686747,COLD_LEAD_MODEL,LOW,0
0.0002862751513168657,COLD_LEAD_RULE,LOW,0
